날짜,선도50지수,전월대비증감률,전년동월대비증감률
2012-01-01,42.32763715,-0.8394668214431362,-3.968845023763519
2012-02-01,42.09198031,-0.5567446138438654,-5.0862800764420015
2012-03-01,41.69906344,-0.9334720464711725,-5.882740273798503
2012-04-01,41.1189937,-1.3910857754267105,-7.083666971748597
2012-05-01,40.99208786,-0.3086307046468406,-6.999733457433248
2012-06-01,40.67086129,-0.7836306633052772,-7.36241234219516
2012-07-01,40.04563559,-1.5372816807145615,-8.179924364529539
2012-08-01,39.39291447,-1.6299432144935022,-9.59447553165576
2012-09-01,38.90575973,-1.2366557452127507,-10.416785809285782
2012-10-01,38.75483207,-0.3879314041093524,-10.210649546218203
2012-11-01,38.51026435,-0.631063810464345,-10.248331792230159
2012-12-01,38.28032819,-0.5970775944569698,-10.321057135348727
2013-01-01,38.0660104,-0.559864034958787,-10.06818957292068
2013-02-01,37.8195287,-0.647511250614275,-10.150274656915993
2013-03-01,37.89084387,0.1885670510748591,-9.132626145140108
2013-04-01,38.0227705,0.3481754865440003,-7.529909954970518
2013-05-01,38.17520837,0.4009120534759559,-6.871763886778515
2013-06-01,38.01352901,-0.423519260020741,-6.533749706090869
2013-07-01,37.86413267,-0.3930083417424864,-5.447542254878717
2013-08-01,37.76565843,-0.2600726150477013,-4.130834343925607
2013-09-01,37.89306603,0.3373636401339448,-2.6029403024846163
2013-10-01,37.97534278,0.2171287747865569,-2.011334453964517
2013-11-01,37.98189236,0.0172469279288491,-1.3720289873834637
2013-12-01,38.08451535,0.2701892497280512,-0.5115234096951978
2014-01-01,38.19142997,0.2807298951225856,0.3294791565548461
2014-02-01,38.37387365,0.477708428679713,1.4657637708742786
2014-03-01,38.82945885,1.187227550065173,2.4771551228056614
2014-04-01,38.82972769,0.000692360923799,2.1222998203142507
2014-05-01,38.85469227,0.0642924416037799,1.779908817823173
2014-06-01,38.90785411,0.1368221877310985,2.352649499510385
2014-07-01,38.97107869,0.1624982447534936,2.923468575518278
2014-08-01,39.25097048,0.7182038563172243,3.93297008909054
2014-09-01,39.65045745,1.0177760323239784,4.637765174791268
2014-10-01,39.98759728,0.8502797992309166,5.29884486272437
2014-11-01,40.07229757,0.2118164024882867,5.503688942580111
2014-12-01,40.02691733,-0.1132459148885283,5.100240772789563
2015-01-01,40.11468402,0.2192691714838086,5.03582623512853
2015-02-01,40.28825997,0.4326992826703063,4.988775273147333
2015-03-01,40.55332678,0.6579256840513285,4.439587831134556
2015-04-01,40.80361365,0.6171796246404029,5.083440130609889
